,labeldownstairs,labelupstairs,labelsitting,labelstanding,labelwalking,labeljogging,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,pca_1,pca_2,pca_3
1970-01-01 00:00:00.000,1.0,0.0,0.0,0.0,0.0,0.0,-0.6762906644496218,-1.353666009385158,-1.476703049162991,-0.1320552088886125,0.9758947785136622,-0.16912680092826074,1.424156326557561,0.041847825136907345,-0.2379157489125213,0.010104783402663884,0.024365456351535312,-0.048469330498142345,-0.3468152724406589,-0.14761871598937207,0.0067389546341560785
1970-01-01 00:00:00.100,1.0,0.0,0.0,0.0,0.0,0.0,-0.5155996643906295,-1.2046268765913812,-1.2585424332872817,-0.16844300279891564,0.9272912392342972,-0.3123158007264001,0.7338241163353095,-0.06914316211533565,-0.08757643599681883,-0.008235881335180969,-0.05812570168570502,0.1002808743747302,-0.23475237090099324,-0.1419623513450333,0.05875925811093676
1970-01-01 00:00:00.200,1.0,0.0,0.0,0.0,0.0,0.0,-0.4299867205151434,-1.1173418994195694,-1.1284640811522735,-0.19077755806293453,0.8989454600376793,-0.39500891549908973,0.054047462716993615,-0.1656025364703793,0.05082296168302985,-0.025795410171548367,-0.09729014873046206,0.18422030803037553,-0.16985280742308076,-0.13696587448939082,0.08358232953149296
1970-01-01 00:00:00.300,1.0,0.0,0.0,0.0,0.0,0.0,-0.4611961525983014,-1.1236390103137102,-1.1348641297434214,-0.19187351294655094,0.9010437687895143,-0.38582261658199707,-0.5508996643578179,-0.223596459144102,0.15795318081838064,-0.04174116638335207,-0.07275603046585387,0.1743274189677955,-0.17655440001528805,-0.1338076623021134,0.0678594495247217
1970-01-01 00:00:00.400,1.0,0.0,0.0,0.0,0.0,0.0,-0.6002147995094886,-1.2115068347595408,-1.2670674059824933,-0.17449755168686384,0.9291782923426772,-0.296100569402509,-0.9556751315133918,-0.2129331837636945,0.20934346389590544,-0.05426831177018868,0.003240204378369982,0.0910889267514179,-0.24594779245382967,-0.1341442684622564,0.018497118390235462
1970-01-01 00:00:00.500,1.0,0.0,0.0,0.0,0.0,0.0,-0.7918374758876123,-1.3337920376840129,-1.4634727718276694,-0.14931477463667409,0.9676102293201083,-0.17187753706670397,-1.0314288088718855,-0.11561267354027278,0.18795512579081736,-0.059514952266828174,0.09322135867115655,-0.011380538634403277,-0.34218099627533927,-0.1390869540107257,-0.04160169854450416
1970-01-01 00:00:00.600,1.0,0.0,0.0,0.0,0.0,0.0,-0.9590481480893097,-1.433207985305299,-1.6414406345755843,-0.12910149679872668,0.997897211742933,-0.06990357571175963,-0.733390959608084,0.05208519535869812,0.09972090570876405,-0.05249167395748202,0.15461200076288303,-0.07830272265848237,-0.42124506450216814,-0.14798747871834467,-0.0854273094338531
1970-01-01 00:00:00.700,1.0,0.0,0.0,0.0,0.0,0.0,-1.0360756336351369,-1.4693483206895745,-1.7330725384928694,-0.1225538032517931,1.0077768531521782,-0.031220714761413124,-0.1590879969474518,0.2319776006367071,-0.020082498278554448,-0.030928925991885785,0.16127482612399782,-0.08258232776674845,-0.4514775744206143,-0.15805379440655734,-0.09465815970754218
1970-01-01 00:00:00.800,1.0,0.0,0.0,0.0,0.0,0.0,-0.9956480564331552,-1.4342637303551526,-1.7105814664510628,-0.13086193742728489,0.9957762609099751,-0.06524800899475194,0.46816221718673456,0.34239711777329723,-0.11767878849036807,0.0002447718813365299,0.11491097564339525,-0.032879536574112064,-0.42571141707393645,-0.16531135615551104,-0.06707186561238244
1970-01-01 00:00:00.900,1.0,0.0,0.0,0.0,0.0,0.0,-0.8590721905640466,-1.3510676107118458,-1.592329546709072,-0.14835626373197539,0.9700320820355005,-0.1501061483433742,0.8906615330514269,0.3175242839822899,-0.14586275034258042,0.028075090509622872,0.04125536992330987,0.03912364795991372,-0.36080067669554866,-0.16650037917036994,-0.015908827414270677
1970-01-01 00:00:01.000,1.0,0.0,0.0,0.0,0.0,0.0,-0.6856815867129825,-1.2593043054910382,-1.4304727315318853,-0.1662555860092997,0.9430484040298497,-0.24616728980562977,0.9355165852817484,0.14664688171163168,-0.08957100211047221,0.03696300732484101,-0.025212257142480488,0.100213730434814,-0.2870773740592129,-0.16083709762855286,0.037246059195988626
1970-01-01 00:00:01.100,1.0,0.0,0.0,0.0,0.0,0.0,-0.5473036214665966,-1.196203393708928,-1.2883087506554518,-0.17717345131765952,0.9257111073209864,-0.31443306463864723,0.5954670797343199,-0.11106294173920278,0.024130717125043,0.018123780448949356,-0.05866754163866565,0.13151764154708678,-0.2343120511248969,-0.15062204810772345,0.07192727949669105
1970-01-01 00:00:01.200,1.0,0.0,0.0,0.0,0.0,0.0,-0.49952443712288513,-1.1826414615654284,-1.2174730582358162,-0.178121562021948,0.9233652492615715,-0.33118419909825925,0.0270443695564541,-0.34816343384403053,0.13907740475851046,-0.02298887059761508,-0.05237546276974048,0.1315458965710382,-0.22066764418570187,-0.14036911638821176,0.07635653505668523
1970-01-01 00:00:01.300,1.0,0.0,0.0,0.0,0.0,0.0,-0.5618528438322256,-1.2183382035628265,-1.2426418678309554,-0.17094070190443042,0.9350174081461176,-0.2940669454732075,-0.5296601860280383,-0.4579492471301567,0.19926003573352094,-0.06715327763594363,-0.018080917197945773,0.1090492933613375,-0.2481682161587393,-0.13494588553576375,0.0506250800792951
